genes	logFC	logCPM	F	PValue	FDR
AT3G14350	144269491.693074	6.54578613719823	2131.36980055278	5.36608282846889e-07	0.00450804618419671
AT4G32660	144269490.818626	5.67966686161324	1265.88540766736	1.65321312278886e-06	0.00694432172227462
AT4G09435	-144269490.140482	5.01110713245154	581.031335923733	8.85533797558787e-06	0.0206825475883029
AT4G09432	2.80156296688222	5.46592470682959	160.569380372905	9.84765984444847e-06	0.0206825475883029
AT1G11820	144269491.554234	6.40797276612537	444.659924385301	1.57352661937871e-05	0.0225160343579745
AT2G34420	1.43493187496131	7.42919264463972	135.598963044765	1.64895649848663e-05	0.0225160343579745
AT2G05070	2.08970713129655	5.57216893996709	129.958610524286	1.87611284973005e-05	0.0225160343579745
AT2G43900	144269489.003622	3.90970843717216	356.287567856128	2.53089688752998e-05	0.0240729293226529
AT3G46290	144269489.614703	4.49938987876566	353.174548515796	2.57893541130671e-05	0.0240729293226529
AT5G15843	-3.48390209455915	4.69684348945901	108.167576577653	3.26757785581295e-05	0.0259498113027636
AT3G12290	144269488.863539	3.77609926192086	310.495967532201	3.39778507713844e-05	0.0259498113027636
AT3G08405	1.23867124099524	8.88485245692234	101.361261890639	3.97246177134479e-05	0.027810542784223
AT1G31330	1.52595607680555	6.76877273572098	90.6191042266305	5.55411484623937e-05	0.0326235592188051
AT3G51075	144269488.902301	3.81294395064391	245.449270343542	5.61443710263127e-05	0.0326235592188051
AT5G62910	-144269489.349301	4.24000522127848	241.249473222734	5.82494212929505e-05	0.0326235592188051
AT4G03620	144269488.565881	3.49344446369933	207.681257521876	8.01466060764863e-05	0.041153647531362
AT3G54500	1.29191754799235	10.6469551911596	79.0675753528209	8.32772298575352e-05	0.041153647531362
AT3G16785	2.59070108969842	5.03720104610634	72.1593406333673	0.000109046551840793	0.0468879658358392
AT5G07870	144269488.830901	3.74450420479867	178.996540747999	0.000109907303973073	0.0468879658358392
AT4G04330	-1.29858175746725	5.55314350005316	71.5878377431621	0.000111624725237089	0.0468879658358392
AT1G06760	-0.856262347427346	7.7753852129499	70.2198832108078	0.000118130169720285	0.0472576931342912
AT3G01505	-0.682033103733852	10.3097840590966	64.1011801791183	0.000154217018149495	0.0588898713397231
AT1G04503	-0.903444840626379	10.0184563641414	58.9143829191409	0.000197035794103174	0.068686401179779
AT1G29920	1.55275827347518	8.04968466430309	58.507404944523	0.000201026976401774	0.068686401179779
AT1G49205	-1.05335284468223	9.78222714069351	58.1717164889111	0.000204399479763656	0.068686401179779
AT5G46440	1.20880453254171	6.16028424618549	56.7958944693836	0.000219026738568181	0.070770908873511
AT5G19140	0.905397760254949	8.35377230723447	53.9919405296597	0.000253386338435794	0.0788406899703373
AT3G63160	-2.09340157752936	4.74393709556908	50.6074149555884	0.000304982783446089	0.0884674996171602
AT1G20490	1.12521767103797	7.89982131155812	50.4202846499876	0.000308224011933323	0.0884674996171602
AT1G06045	0.94960540719499	9.87652060381843	49.986280374948	0.000315917746520034	0.0884674996171602
AT3G54890	1.32085824167178	6.11494942349417	49.0525465577475	0.000333347967547301	0.0903372992053187
AT3G16525	-1.09814555877699	9.07494580730274	48.458858673121	0.000345093183129841	0.0904757999449335
AT3G18100	144269487.845016	2.82450251650172	102.23918583653	0.000357753878592381	0.0904757999449335
AT3G61470	0.850133984841201	7.09380102448412	47.4575241971688	0.000366167979779519	0.0904757999449335
AT2G08665	1.11866283966484	15.9573439169447	46.7615949252375	0.000381822255900264	0.0916482506233748
AT5G41990	144269487.927007	2.90154117117816	96.5607501330259	0.000403097864579009	0.0940673655646738
AT2G44140	2.17366189137382	8.27268051800659	44.9004236855936	0.00042825387276873	0.0944887273396946
AT1G01900	-144269488.098719	3.05612775724638	92.5444965162822	0.000440424998996656	0.0944887273396946
AT3G57770	-144269489.281046	4.17317067976267	91.7613960763887	0.000448289110292898	0.0944887273396946
AT5G01015	-144269488.43822	3.37204245676767	91.6041682253317	0.000449892762003069	0.0944887273396946
AT1G29930	2.41564539401577	9.86601673897021	46.0271905733512	0.000464286080075085	0.0945587213859641
AT3G04790	-0.633941124577217	9.11385781122301	43.0821972027208	0.000481065806333895	0.0945587213859641
AT3G52530	1.00320644802857	5.97322860260238	42.7940179778208	0.000490210308211923	0.0945587213859641
